"Company Name","Address","ZIP Code","Legal Name","Record Type","Neighborhood","Census Block Group","Company Description","Primary SIC Code","Primary SIC Description","Primary NAICS","Primary NAICS Description","Location Employee Size Range","Location Type","Years In Database","Square Footage","Latitude","Longitude"
"North Phila Districts 195-181","2445 Sharswood St","19121","","Unverified","Sharswood","1","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","4","","039.977529","-075.176106"
"Nova Energy","1204 N Ringgold St","19121","","Unverified","Sharswood","2","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","2","","039.974806","-075.176108"
"Nova Investments LLC","2343 N College Ave","19121","NOVA INVESTMENT LLC","Unverified","Sharswood","2","","621111","Investments","52391001","Miscellaneous Intermediation","1 to 4","Single Loc","7","5,000 - 9,999","039.974725","-075.175040"
"Nubi Management LLC","2440 W Jefferson St","19121","NUBI MANAGEMENT LLC","Unverified","Sharswood","1","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","4","","039.977968","-075.175938"
"Nurse101 LLC","2019 N College Ave # 2","19121","NURSE101 LLC","Unverified","Sharswood","2","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","3","","039.975352","-075.169073"
"Nustar Service CDC Inc","2435 W Thompson St","19121","NUSTAR SVC CDC INC","Unverified","Sharswood","2","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","3","","039.975584","-075.176465"
"Official Shades Of Brown LLC","2105 W Jefferson St","19121","OFFICIAL SHADES OF BROWN LLC","Unverified","Sharswood","2","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","3","","039.977512","-075.170163"
"Ona Service LLC","2111 W Master St # A","19121","ONA SERVICE LLC","Unverified","Sharswood","2","","899999","Services NEC","54199009","All Other Professional, Scientific, And Technical","1 to 4","Single Loc","4","","039.976165","-075.170686"
"Opulence Acquisitions LLC","1209 N Ringgold St","19121","OPULENCE ACQUISITIONS LLC","Unverified","Sharswood","2","","628207","Mergers & Acquisitions","52394013","Portfolio Management And Investment Advice","5 to 9","Single Loc","4","","039.974966","-075.175809"
"Out N The Wash Cleaning Svc","2130 W Master St","19121","","Unverified","Sharswood","2","","734902","Janitor Service","56172001","Janitorial Services","1 to 4","Single Loc","4","","039.975943","-075.171221"
"Oyvey Investments LLC","2430 W Jefferson St","19121","OYVEY INVESTMENTS LLC","Unverified","Sharswood","1","","621111","Investments","52391001","Miscellaneous Intermediation","1 to 4","Single Loc","4","","039.977942","-075.175673"
"Pai International Ent LLC","2207 W Thompson St","19121","PAI INTERNATIONAL ENT LLC","Unverified","Sharswood","2","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","4","","039.975080","-075.172381"
"Pappa Stopper Step In Lounge","2448 W Master St","19121","","Unverified","Sharswood","2","","581303","Cocktail Lounges","72241003","Drinking Places (Alcoholic Beverages)","1 to 4","Single Loc","4","","039.976679","-075.176478"
"Parkway 2 LLC","2430 W Jefferson St","19121","PARKWAY 2 LLC","Unverified","Sharswood","1","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","4","","039.977942","-075.175673"
"Pate's Barber & TV Shop","2412 W Thompson St","19121","","Unverified","Sharswood","2","","724101","Barbers","81211101","Barber Shops","1 to 4","Single Loc","42","1 - 1,499","039.975234","-075.175799"
"Peacetown Commons Land Trust","2226 W Jefferson St","19121","PEACETOWN COMMONS LAND TRUST","Unverified","Sharswood","1","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","3","","039.977660","-075.172900"
"Penger's","2110 Ridge Ave","19121","PENGERS","Unverified","Sharswood","2","","641112","Insurance","52421001","Insurance Agencies And Brokerages","1 to 4","Single Loc","12","1,500 - 2,499","039.978129","-075.170176"
"Pennsylvania State Police","2100 Ridge Ave","19121","","Unverified","Sharswood","2","","922102","State Government-Police","92212005","Police Protection","50 to 99","Single Loc","5","","039.977905","-075.170048"
"Peoples Neighborhood Housing","1410 N 21st St","19121","","Unverified","Sharswood","2","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","4","","039.976331","-075.170330"
"Pete's Pizza Inc","2036 Ridge Ave","19121","PETE'S PIZZA INC","Unverified","Sharswood","2","","581208","Restaurants","72251117","Full-Service Restaurants","1 to 4","Single Loc","6","1 - 1,499","039.976308","-075.169162"
"Petrus & Petrus Builders","2316 W Seybert St","19121","","Unverified","Sharswood","2","","154213","Building Contractors","23622005","Commercial And Institutional Building Construction","1 to 4","Single Loc","4","","039.975556","-075.174163"
"Pfizer","2238 W Oxford St # A","19121","","Unverified","Sharswood","1","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","2","","039.979047","-075.172388"
"Philadelphia Certified Group","2035 N College Ave","19121","","Unverified","Sharswood","2","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","1","","039.975262","-075.169750"
"Philadelphia District Office","1425 N 23rd St","19121","","Unverified","Sharswood","1","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","14","1 - 1,499","039.977098","-075.173184"
"Philadelphia Housing Authority","2311 W Jefferson St","19121","","Unverified","Sharswood","1","","912104","Government Offices-City/Village & Twp","92112006","Legislative Bodies","1 to 4","Single Loc","25","10,000 - 19,999","039.977794","-075.172997"
"Philadelphia Traveler's","2100 Ridge Ave","19121","","Unverified","Sharswood","2","","864108","Clubs","81341004","Civic And Social Organizations","20 to 49","Single Loc","4","","039.977905","-075.170048"
"Philly Fsbo LLC","2431 W Jefferson St","19121","PHILLY FSBO LLC","Unverified","Sharswood","1","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","3","","039.978189","-075.175652"
"Philly Proper LLC","2207 W Thompson St","19121","PHILLY PROPER LLC","Unverified","Sharswood","2","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","3","","039.975080","-075.172381"
"PHILLYBIKEADS.COM","2339 W Thompson St # A","19121","","Unverified","Sharswood","2","","731917","Advertising-Computer","54189002","Other Services Related To Advertising","1 to 4","Single Loc","4","","039.975396","-075.174854"
"Pinckney, Laval","2101 S College Ave","19121","","Unverified","Sharswood","3","","832282","Counselors","62419036","Other Individual And Family Services","1 to 4","Single Loc","11","1,500 - 2,499","039.972736","-075.173275"
