Version Year,Company Name,Address,City,State,ZIP Code,Record Type,Primary SIC Code,Primary SIC Description,Primary NAICS,Primary NAICS Description,Years In Database
2012,Arch Street United Church,1817 N Gratz St,Philadelphia,PA,19121,Verified,809905,Health & Welfare Agencies,62199915,All Other Miscellaneous Ambulatory Health Care Ser,20
2012,Armstrong & Manes Inc,2317 W Thompson St,Philadelphia,PA,19121,Verified,873202,Economic Research & Analysis,54191004,Marketing Research And Public Opinion Polling,35
2012,Art Sanctuary,1801 W Diamond St,Philadelphia,PA,19121,Verified,841202,Arts Organizations & Information,71211004,Museums,42
2012,Ashanti's Hair Design,2734 Ridge Ave,Philadelphia,PA,19121,Verified,723106,Beauty Salons,81211202,Beauty Salons,24
2012,Atelier Art Storage LLC,1330 N 30th St,Philadelphia,PA,19121,Verified,422503,Storage-Household & Commercial,53113001,Lessors Of Miniwarehouses And Self-Storage Units,19
2012,Athletic Recreation Ctr,1400 N 26th St,Philadelphia,PA,19121,Verified,799701,Recreation Centers,71394015,Fitness And Recreational Sports Centers,42
2012,Atlas Insurance,1428 N Broad St,Philadelphia,PA,19121,Verified,738911,License Services,56149904,All Other Business Support Services,42
2012,Avant Guard Locksmith,2227 W Berks St,Philadelphia,PA,19121,Verified,769962,Locks & Locksmiths,56162204,Locksmiths,15
2012,Avl Locksmith,2417 Ridge Ave,Philadelphia,PA,19121,Verified,769962,Locks & Locksmiths,56162204,Locksmiths,15
2012,Avon Products Inc,1248 N Broad St,Philadelphia,PA,19121,Verified,599992,Cosmetics & Perfumes-Retail,45612001,"Cosmetics, Beauty Supplies, And Perfume Retailers",26
2012,B & G Auto Tags,1351 N 29th St,Philadelphia,PA,19121,Verified,729954,Vehicle & Drivers Licensing Services,56199022,All Other Support Services,22
2012,Baitultah,2447 Turner St,Philadelphia,PA,19121,Verified,594133,Fishing Bait,45911017,Sporting Goods Retailers,14
2012,Baker Funeral Home LTD,2008 N Broad St,Philadelphia,PA,19121,Verified,726105,Funeral Plans (Pre-Arranged),81221005,Funeral Homes And Funeral Services,42
2012,Ballard's Billiard Ctr,2004 W Columbia Ave,Philadelphia,PA,19121,Verified,799912,Billiard Parlors,61162003,Sports And Recreation Instruction,33
2012,Bank Of America,1600 N Broad St # 11,Philadelphia,PA,19121,Verified,602101,Banks,52211002,Commercial Banking,20
2012,Barney's Super Market,2449 Ridge Ave,Philadelphia,PA,19121,Verified,541105,Grocers-Retail,44511003,Supermarkets And Other Grocery Retailers (Except C,42
2012,Bavarian Classics,2700 W Diamond St,Philadelphia,PA,19121,Verified,753801,Automobile Repairing & Service,81111104,General Automotive Repair,29
2012,Beale Flowers-The Original,1823 N 31st St,Philadelphia,PA,19121,Verified,594712,Gift Shops,45942013,"Gift, Novelty, And Souvenir Retailers",42
2012,Beech Capital Venture Corp,1510 Cecil B Moore Ave,Philadelphia,PA,19121,Verified,621109,Investment Bankers,52315001,Investment Banking And Securities Intermediation,17
2012,Beech Interplex Inc,1510 Cecil B Moore Ave # 300,Philadelphia,PA,19121,Verified,999966,Federal Government Contractors,99999005,Unclassified Establishments,15
2012,Bella's Breakfast & Lunch,2159 Ridge Ave,Philadelphia,PA,19121,Verified,581208,Restaurants,72251117,Full-Service Restaurants,23
2012,Bellamy's Auto,1339 N Marston St,Philadelphia,PA,19121,Verified,551103,,,,15
2012,Bennu Realty Group LLC,2022 Ridge Ave,Philadelphia,PA,19121,Verified,628205,Financial Planning Consultants,52394009,Portfolio Management And Investment Advice,16
2012,Bethany Child Care Ctr,1910 W Diamond St,Philadelphia,PA,19121,Verified,835101,Child Care Service,62441003,Child Care Services,39
2012,Bio-Medical Applications,1241 N Taney St,Philadelphia,PA,19121,Verified,809913,Medical & Surgical Svc Organizations,62199930,All Other Miscellaneous Ambulatory Health Care Ser,34
2012,Bio-Medical Applications,1241 N Taney St,Philadelphia,PA,19121,Verified,801101,Physicians & Surgeons,62111107,Offices Of Physicians (Except Mental Health Specia,21
2012,Bloodmoney Records Corp,1402 N 30th St,Philadelphia,PA,19121,Verified,738999,Business Services NEC,56199001,All Other Support Services,15
2012,Bobby's Barber Shop,2925 W Diamond St,Philadelphia,PA,19121,Verified,724101,Barbers,81211101,Barber Shops,31
2012,Boot's Coin Op Laundromat,2308 Cecil B Moore Ave,Philadelphia,PA,19121,Verified,721501,Laundries-Self Service,81231001,Coin-Operated Laundries And Drycleaners,24
2012,"Boykin, Gregory E",1827 N Judson St,Philadelphia,PA,19121,Verified,866106,Clergy,81311009,Religious Organizations,25
2012,Bp Food Shop,1840 Ridge Ave,Philadelphia,PA,19121,Verified,554101,Service Stations-Gasoline & Oil,45712003,Other Gasoline Stations,41
2012,Bravo Mini Market,1646 N 29th St,Philadelphia,PA,19121,Verified,541103,Convenience Stores,44513101,Convenience Retailers,15
2012,Brewerytown Development Corp,3000 W Master St,Philadelphia,PA,19121,Verified,152139,Remodeling & Repairing Building Contractors,23611823,Residential Remodelers,19
2012,Brewerytown Sharswood Cmnty,2514 Stewart St,Philadelphia,PA,19121,Verified,861102,Associations,81391002,Business Associations,17
2012,Brian's Seafood,1901 N 27th St,Philadelphia,PA,19121,Verified,581208,Restaurants,72251117,Full-Service Restaurants,15
2012,Broad & Diamond Bp,2040 N Broad St,Philadelphia,PA,19121,Verified,554101,Service Stations-Gasoline & Oil,45712003,Other Gasoline Stations,20
2012,Broad Wellness & Chiro Ctr,1248 N Broad St,Philadelphia,PA,19121,Verified,809921,Wellness Programs,62199952,All Other Miscellaneous Ambulatory Health Care Ser,15
2012,Brothers Corner,2012 Ridge Ave,Philadelphia,PA,19121,Verified,541105,Grocers-Retail,44511003,Supermarkets And Other Grocery Retailers (Except C,20
2012,Brothers Inc,1523 N 20th St,Philadelphia,PA,19121,Verified,174101,Masonry Contractors,23814006,Masonry Contractors,16
2012,Brown Mc Kinney Real Estate Co,1631 W Cabot St,Philadelphia,PA,19121,Verified,653118,Real Estate,53121003,Offices Of Real Estate Agents And Brokers,15
2012,Building Assets Inc,1941 N Gratz St,Philadelphia,PA,19121,Verified,653118,Real Estate,53121003,Offices Of Real Estate Agents And Brokers,15
2012,Butler Tutoring,1723 N Willington St,Philadelphia,PA,19121,Verified,829909,Tutoring,61169102,Exam Preparation And Tutoring,15
2012,C & J Communication,2242 Ridge Ave,Philadelphia,PA,19121,Verified,489903,Communications,51781001,All Other Telecommunications,15
2012,C Food Market,2440 W Norris St,Philadelphia,PA,19121,Verified,541105,Grocers-Retail,44511003,Supermarkets And Other Grocery Retailers (Except C,18
2012,Calcutta House,1221 N 19th St,Philadelphia,PA,19121,Verified,805909,Personal Care Homes,62311019,Nursing Care Facilities (Skilled Nursing Facilitie,21
2012,Camp Shiloh,1500 W Master St # 34,Philadelphia,PA,19121,Verified,703203,Camps,72121403,Recreational And Vacation Camps (Except Campground,18
2012,Car Realty Partners,1609 W Susquehanna Ave,Philadelphia,PA,19121,Verified,653118,Real Estate,53121003,Offices Of Real Estate Agents And Brokers,15
2012,"Carandang-Pani, Norma H MD",1900 N 20th St,Philadelphia,PA,19121,Verified,801101,Physicians & Surgeons,62111107,Offices Of Physicians (Except Mental Health Specia,17
2012,Carelas Pch & Assisted Lvng,1437 N 28th St,Philadelphia,PA,19121,Verified,836105,Residential Care Homes,62331206,Assisted Living Facilities For The Elderly,42
2012,Cecil B Moore Comm Foundation,3033 W Sedgley Ave,Philadelphia,PA,19121,Verified,873303,Foundation-Educ Philanthropic Research,54172006,Research And Development In The Social Sciences An,17
2012,Cecil B Moore Grocery,2604 Cecil B Moore Ave,Philadelphia,PA,19121,Verified,541105,Grocers-Retail,44511003,Supermarkets And Other Grocery Retailers (Except C,21
2012,Cecil B Moore Library,2320 Cecil B Moore Ave,Philadelphia,PA,19121,Verified,823104,City Government-Libraries,51921001,Libraries And Archives,33
2012,Cecil B Moore Village Inc,1601 W Oxford St,Philadelphia,PA,19121,Verified,653120,Real Estate Buyers & Brokers,53131103,Residential Property Managers,17
2012,Cedar Grove Museum,Lansdowne Dr,Philadelphia,PA,19121,Verified,841201,Museums,71211001,Museums,24
