Company Name,Address,ZIP Code,Legal Name,Record Type,Neighborhood,Census Block Group,Company Description,Primary SIC Code,Primary SIC Description,Primary NAICS,Primary NAICS Description,Location Employee Size Range,Location Type,Years In Database,Square Footage,Latitude,Longitude
Ah Cornerstone Invstmnt Group,2331 N College Ave,19121,NA,Unverified,Sharswood,2,NA,621111,Investments,52391001,Miscellaneous Intermediation,1 to 4,Single Loc,4,NA,039.974755,-75.174696
Ahold Delhaize,1316 N 23rd St,19121,NA,Unverified,Sharswood,2,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,2,NA,039.975520,-75.173818
All Team Staffing,2203 W Jefferson St,19121,NA,Unverified,Sharswood,1,NA,736103,Employment Agencies & Opportunities,56131102,Employment Placement Agencies,10 to 19,Single Loc,2,NA,039.977612,-75.171596
Ambassadors For Christ Prayer,2425 W Master St,19121,NA,Unverified,Sharswood,1,NA,866107,Churches,81311008,Religious Organizations,1 to 4,Single Loc,4,NA,039.976835,-75.175957
American Academy-Family Phys,2019 W Jefferson St,19121,NA,Unverified,Sharswood,2,NA,801101,Physicians & Surgeons,62111107,Offices Of Physicians (Except Mental Health Specia,1 to 4,Single Loc,6,"1,500 - 2,499",039.977361,-75.16887
Ameritech,2412 W Master St,19121,NA,Unverified,Sharswood,2,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,5,NA,039.976620,-75.1758
Armstrong & Manes Inc,2317 W Thompson St,19121,ARMSTRONG & MANES INC,Unverified,Sharswood,2,NA,873204,Market Research & Analysis,54191001,Marketing Research And Public Opinion Polling,5 to 9,Single Loc,14,"2,500 - 4,999",039.975327,-75.174233
Art Sanctuary,2101 S College Ave,19121,NA,Unverified,Sharswood,3,NA,599969,Art Galleries & Dealers,45992002,Art Dealers,1 to 4,Single Loc,11,"1,500 - 2,499",039.972736,-75.173275
Audio Diagnostics Labs Inc,2323 W Thompson St,19121,AUDIO DIAGNOSTICS LABS INC,Unverified,Sharswood,2,NA,873104,Laboratories,54171414,Research And Development In Biotechnology (Except,1 to 4,Single Loc,4,NA,039.975344,-75.174403
Auto Gallery Inc,1412b N 22nd St,19121,AUTO GALLERY INC,Unverified,Sharswood,1,NA,551102,Automobile Dealers-New Cars,44111001,New Car Dealers,20 to 49,Single Loc,2,NA,039.976594,-75.171926
Automatic Winners LLC,2438 W Seybert St,19121,AUTOMATIC WINNERS LLC,Unverified,Sharswood,2,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,4,NA,039.975869,-75.176259
Baby Steps LLC,2205 W Thompson St,19121,BABY STEPS LLC,Unverified,Sharswood,2,NA,874899,Consultants-Business NEC,54161830,Other Management Consulting Services,1 to 4,Single Loc,11,"1,500 - 2,499",039.975074,-75.172324
Baltimore Technologies,2101 N College Ave,19121,NA,Unverified,Sharswood,2,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,2,NA,039.975227,-75.171211
Barkmore Estates LLC,2220 W Master St # 10,19121,BARKMORE ESTATES LLC,Unverified,Sharswood,2,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,1,NA,039.976134,-75.17263
Baxter's Barber Shop,2040 Ridge Ave,19121,NA,Unverified,Sharswood,2,NA,724101,Barbers,81211101,Barber Shops,1 to 4,Single Loc,41,"1 - 1,499",039.976417,-75.169163
Bennu Group,2017 W Master St,19121,NA,Unverified,Sharswood,2,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,5 to 9,Single Loc,20,"1,500 - 2,499",039.975870,-75.169052
Bennu Realty Group LLC,2017 W Master St,19121,BENNU REALTY GROUP LLC,Unverified,Sharswood,2,NA,653118,Real Estate,53121003,Offices Of Real Estate Agents And Brokers,1 to 4,Single Loc,15,"2,500 - 4,999",039.975870,-75.169052
Berks Development & Constr Inc,2222 W Oxford St,19121,BERKS DEVELOPMENT & CONSTRUCTION INC,Unverified,Sharswood,1,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,4,NA,039.978985,-75.171869
Berte Home Improvement LLC,2433 W Jefferson St,19121,BERTE HOME IMPROVEMENT LLC,Unverified,Sharswood,1,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,3,NA,039.978196,-75.175708
Best Choice Rentals Inc,2026 Ridge Ave,19121,BEST CHOICE RENTALS INC,Unverified,Sharswood,2,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,11,"1 - 1,499",039.976045,-75.16908
Big Brthers Big Ssters Indpndn,2101 S College Ave,19121,NA,Unverified,Sharswood,3,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,2,NA,039.972736,-75.173275
Big Dawg Auto Salez LLC,2442 Harlan St,19121,BIG DAWG AUTO SALEZ LLC,Unverified,Sharswood,1,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,4,NA,039.976993,-75.176117
Big Reds Wrap,1326 N 22nd St,19121,NA,Unverified,Sharswood,2,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,4,NA,039.975966,-75.172079
Black Ink Creative LLC,2216 W Seybert St,19121,BLACK INK CREATIVE DELINQUENT DECEMBER 1 2017,Unverified,Sharswood,2,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,9,"1 - 1,499",039.975357,-75.172601
Black Roses LLC,2341 W Jefferson St,19121,BLACK ROSES LLC,Unverified,Sharswood,1,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,3,NA,039.977823,-75.173237
Blumberg Service Corp,2311 W Jefferson St,19121,BLUMBERG SERVICE CORP,Unverified,Sharswood,1,NA,899999,Services NEC,54199009,"All Other Professional, Scientific, And Technical",1 to 4,Single Loc,4,NA,039.977794,-75.172997
Bob Buy & Sell Svc LLC,2419 W Master St,19121,BOB BUY & SELL SVC LLC,Unverified,Sharswood,1,NA,899999,Services NEC,54199009,"All Other Professional, Scientific, And Technical",1 to 4,Single Loc,4,NA,039.976794,-75.175734
Bomb Hair LLC,2129 W Jefferson St,19121,BOMB HAIR LTD LIABILITY CO,Unverified,Sharswood,2,NA,723106,Beauty Salons,81211202,Beauty Salons,1 to 4,Single Loc,3,NA,039.977591,-75.170846
Bosman & Sons Inc,1265 N 23rd St,19121,BOSMAN & SONSINC,Unverified,Sharswood,2,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,1,NA,039.974999,-75.173548
Braid Co Inc,2200 W Jefferson St,19121,BRAID CO INC,Unverified,Sharswood,1,NA,723106,Beauty Salons,81211202,Beauty Salons,1 to 4,Single Loc,4,NA,039.977418,-75.171691
Bricky World LLC,2442 W Seybert St,19121,BRICKY WORLD LLC,Unverified,Sharswood,2,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,4,NA,039.975880,-75.176359
Briscoe's 2100 W Jefferson,2100 W Jefferson St,19121,NA,Unverified,Sharswood,2,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,4,NA,039.977088,-75.170788
